
=====================================
Problem:rosenbrock,  Algorithm:steepestbacktrack,  Initation:( 2.000  4.000 )'
=====================================
Iter  	gnorm     	alpha       x     
50    	1.538e+00 	3.906e-03 	( 1.993e+00  3.973e+00 )
51    	5.468e-01 	2.441e-04 	( 1.993e+00  3.971e+00 )
52    	7.612e-01 	9.766e-04 	( 1.992e+00  3.971e+00 )
53    	1.435e+00 	9.766e-04 	( 1.992e+00  3.970e+00 )
54    	5.382e-01 	2.441e-04 	( 1.992e+00  3.970e+00 )
55    	7.282e-01 	9.766e-04 	( 1.992e+00  3.970e+00 )
56    	1.341e+00 	9.766e-04 	( 1.992e+00  3.969e+00 )
57    	5.307e-01 	2.441e-04 	( 1.992e+00  3.969e+00 )
58    	6.988e-01 	9.766e-04 	( 1.992e+00  3.969e+00 )
59    	1.256e+00 	9.766e-04 	( 1.991e+00  3.968e+00 )
60    	5.243e-01 	2.441e-04 	( 1.992e+00  3.968e+00 )
61    	2.531e+00 	3.906e-03 	( 1.991e+00  3.968e+00 )
62    	6.535e-01 	2.441e-04 	( 1.990e+00  3.966e+00 )
63    	1.119e+00 	9.766e-04 	( 1.991e+00  3.966e+00 )
64    	5.146e-01 	2.441e-04 	( 1.991e+00  3.965e+00 )
65    	2.223e+00 	3.906e-03 	( 1.991e+00  3.965e+00 )
66    	6.177e-01 	2.441e-04 	( 1.990e+00  3.964e+00 )
67    	1.007e+00 	9.766e-04 	( 1.990e+00  3.963e+00 )
68    	5.073e-01 	2.441e-04 	( 1.990e+00  3.963e+00 )
69    	1.962e+00 	3.906e-03 	( 1.990e+00  3.963e+00 )
70    	5.895e-01 	2.441e-04 	( 1.989e+00  3.961e+00 )
71    	9.134e-01 	9.766e-04 	( 1.989e+00  3.961e+00 )
72    	5.017e-01 	2.441e-04 	( 1.990e+00  3.960e+00 )
73    	1.742e+00 	3.906e-03 	( 1.989e+00  3.960e+00 )
74    	5.674e-01 	2.441e-04 	( 1.988e+00  3.958e+00 )
75    	8.367e-01 	9.766e-04 	( 1.989e+00  3.958e+00 )
76    	4.973e-01 	2.441e-04 	( 1.989e+00  3.958e+00 )
77    	1.556e+00 	3.906e-03 	( 1.989e+00  3.958e+00 )
78    	5.500e-01 	2.441e-04 	( 1.988e+00  3.956e+00 )
79    	7.736e-01 	9.766e-04 	( 1.988e+00  3.956e+00 )
80    	4.940e-01 	2.441e-04 	( 1.988e+00  3.955e+00 )
81    	1.397e+00 	3.906e-03 	( 1.988e+00  3.955e+00 )
82    	5.363e-01 	2.441e-04 	( 1.987e+00  3.953e+00 )
83    	7.219e-01 	9.766e-04 	( 1.988e+00  3.953e+00 )
84    	1.318e+00 	9.766e-04 	( 1.988e+00  3.953e+00 )
85    	5.298e-01 	2.441e-04 	( 1.987e+00  3.952e+00 )
86    	6.965e-01 	9.766e-04 	( 1.987e+00  3.952e+00 )
87    	1.244e+00 	9.766e-04 	( 1.987e+00  3.952e+00 )
88    	5.241e-01 	2.441e-04 	( 1.987e+00  3.951e+00 )
89    	6.736e-01 	9.766e-04 	( 1.987e+00  3.951e+00 )
90    	1.177e+00 	9.766e-04 	( 1.987e+00  3.951e+00 )
91    	5.190e-01 	2.441e-04 	( 1.987e+00  3.950e+00 )
92    	2.392e+00 	3.906e-03 	( 1.987e+00  3.950e+00 )
93    	6.398e-01 	2.441e-04 	( 1.987e+00  3.948e+00 )
94    	1.074e+00 	9.766e-04 	( 1.987e+00  3.948e+00 )
95    	5.117e-01 	2.441e-04 	( 1.986e+00  3.948e+00 )
96    	2.154e+00 	3.906e-03 	( 1.986e+00  3.948e+00 )
97    	6.123e-01 	2.441e-04 	( 1.986e+00  3.946e+00 )
98    	9.869e-01 	9.766e-04 	( 1.986e+00  3.946e+00 )
99    	5.060e-01 	2.441e-04 	( 1.985e+00  3.945e+00 )
100   	1.948e+00 	3.906e-03 	( 1.986e+00  3.945e+00 )
101   	5.900e-01 	2.441e-04 	( 1.986e+00  3.943e+00 )
102   	9.135e-01 	9.766e-04 	( 1.985e+00  3.943e+00 )
103   	5.014e-01 	2.441e-04 	( 1.985e+00  3.943e+00 )
104   	1.771e+00 	3.906e-03 	( 1.985e+00  3.943e+00 )
105   	5.719e-01 	2.441e-04 	( 1.985e+00  3.941e+00 )
106   	8.515e-01 	9.766e-04 	( 1.985e+00  3.941e+00 )
107   	4.977e-01 	2.441e-04 	( 1.984e+00  3.940e+00 )
108   	1.619e+00 	3.906e-03 	( 1.984e+00  3.940e+00 )
109   	5.570e-01 	2.441e-04 	( 1.984e+00  3.938e+00 )
110   	7.992e-01 	9.766e-04 	( 1.984e+00  3.938e+00 )
111   	4.948e-01 	2.441e-04 	( 1.984e+00  3.938e+00 )
112   	1.487e+00 	3.906e-03 	( 1.984e+00  3.938e+00 )
113   	5.449e-01 	2.441e-04 	( 1.984e+00  3.936e+00 )
114   	7.550e-01 	9.766e-04 	( 1.983e+00  3.936e+00 )
115   	1.406e+00 	9.766e-04 	( 1.983e+00  3.935e+00 )
116   	5.378e-01 	2.441e-04 	( 1.983e+00  3.935e+00 )
117   	7.282e-01 	9.766e-04 	( 1.983e+00  3.935e+00 )
118   	1.331e+00 	9.766e-04 	( 1.983e+00  3.934e+00 )
119   	5.315e-01 	2.441e-04 	( 1.983e+00  3.934e+00 )
120   	7.039e-01 	9.766e-04 	( 1.983e+00  3.934e+00 )
121   	1.261e+00 	9.766e-04 	( 1.982e+00  3.933e+00 )
122   	5.258e-01 	2.441e-04 	( 1.983e+00  3.933e+00 )
123   	6.819e-01 	9.766e-04 	( 1.983e+00  3.933e+00 )
124   	1.197e+00 	9.766e-04 	( 1.982e+00  3.932e+00 )
125   	5.208e-01 	2.441e-04 	( 1.983e+00  3.932e+00 )
126   	2.469e+00 	3.906e-03 	( 1.982e+00  3.932e+00 )
127   	6.558e-01 	2.441e-04 	( 1.981e+00  3.930e+00 )
128   	1.119e+00 	9.766e-04 	( 1.982e+00  3.930e+00 )
129   	5.150e-01 	2.441e-04 	( 1.982e+00  3.929e+00 )
130   	2.289e+00 	3.906e-03 	( 1.982e+00  3.929e+00 )
131   	6.337e-01 	2.441e-04 	( 1.980e+00  3.927e+00 )
132   	1.052e+00 	9.766e-04 	( 1.981e+00  3.927e+00 )
133   	5.102e-01 	2.441e-04 	( 1.981e+00  3.927e+00 )
134   	2.130e+00 	3.906e-03 	( 1.981e+00  3.927e+00 )
135   	6.150e-01 	2.441e-04 	( 1.980e+00  3.925e+00 )
136   	9.928e-01 	9.766e-04 	( 1.980e+00  3.925e+00 )
137   	5.061e-01 	2.441e-04 	( 1.981e+00  3.924e+00 )
138   	1.990e+00 	3.906e-03 	( 1.980e+00  3.924e+00 )
139   	5.991e-01 	2.441e-04 	( 1.979e+00  3.922e+00 )
140   	9.416e-01 	9.766e-04 	( 1.980e+00  3.922e+00 )
141   	5.027e-01 	2.441e-04 	( 1.980e+00  3.922e+00 )
142   	1.867e+00 	3.906e-03 	( 1.980e+00  3.922e+00 )
143   	5.856e-01 	2.441e-04 	( 1.979e+00  3.920e+00 )
144   	8.971e-01 	9.766e-04 	( 1.979e+00  3.920e+00 )
145   	4.999e-01 	2.441e-04 	( 1.979e+00  3.919e+00 )
146   	1.759e+00 	3.906e-03 	( 1.979e+00  3.919e+00 )
147   	5.742e-01 	2.441e-04 	( 1.978e+00  3.917e+00 )
148   	8.584e-01 	9.766e-04 	( 1.978e+00  3.917e+00 )
149   	4.975e-01 	2.441e-04 	( 1.979e+00  3.917e+00 )
150   	1.663e+00 	3.906e-03 	( 1.978e+00  3.917e+00 )
151   	5.644e-01 	2.441e-04 	( 1.978e+00  3.915e+00 )
152   	8.247e-01 	9.766e-04 	( 1.978e+00  3.915e+00 )
153   	4.954e-01 	2.441e-04 	( 1.978e+00  3.914e+00 )
154   	1.578e+00 	3.906e-03 	( 1.978e+00  3.914e+00 )
155   	5.561e-01 	2.441e-04 	( 1.977e+00  3.912e+00 )
156   	7.955e-01 	9.766e-04 	( 1.977e+00  3.912e+00 )
157   	4.937e-01 	2.441e-04 	( 1.977e+00  3.912e+00 )
158   	1.504e+00 	3.906e-03 	( 1.977e+00  3.912e+00 )
159   	5.489e-01 	2.441e-04 	( 1.976e+00  3.910e+00 )
160   	7.700e-01 	9.766e-04 	( 1.977e+00  3.910e+00 )
161   	1.437e+00 	9.766e-04 	( 1.977e+00  3.909e+00 )
162   	5.426e-01 	2.441e-04 	( 1.976e+00  3.909e+00 )
163   	7.471e-01 	9.766e-04 	( 1.976e+00  3.909e+00 )
164   	1.375e+00 	9.766e-04 	( 1.976e+00  3.908e+00 )
165   	5.369e-01 	2.441e-04 	( 1.976e+00  3.908e+00 )
166   	7.259e-01 	9.766e-04 	( 1.976e+00  3.908e+00 )
167   	1.316e+00 	9.766e-04 	( 1.976e+00  3.907e+00 )
168   	5.317e-01 	2.441e-04 	( 1.976e+00  3.907e+00 )
169   	7.063e-01 	9.766e-04 	( 1.976e+00  3.907e+00 )
170   	1.260e+00 	9.766e-04 	( 1.976e+00  3.906e+00 )
171   	5.269e-01 	2.441e-04 	( 1.975e+00  3.906e+00 )
172   	6.881e-01 	9.766e-04 	( 1.976e+00  3.906e+00 )
173   	1.208e+00 	9.766e-04 	( 1.976e+00  3.905e+00 )
174   	5.226e-01 	2.441e-04 	( 1.975e+00  3.905e+00 )
175   	6.713e-01 	9.766e-04 	( 1.975e+00  3.905e+00 )
176   	1.159e+00 	9.766e-04 	( 1.975e+00  3.904e+00 )
177   	5.186e-01 	2.441e-04 	( 1.975e+00  3.904e+00 )
178   	2.440e+00 	3.906e-03 	( 1.975e+00  3.904e+00 )
179   	6.581e-01 	2.441e-04 	( 1.975e+00  3.902e+00 )
180   	1.120e+00 	9.766e-04 	( 1.975e+00  3.902e+00 )
181   	5.156e-01 	2.441e-04 	( 1.974e+00  3.901e+00 )
182   	2.349e+00 	3.906e-03 	( 1.974e+00  3.901e+00 )
183   	6.468e-01 	2.441e-04 	( 1.975e+00  3.899e+00 )
184   	1.086e+00 	9.766e-04 	( 1.974e+00  3.899e+00 )
185   	5.130e-01 	2.441e-04 	( 1.974e+00  3.899e+00 )
186   	2.269e+00 	3.906e-03 	( 1.974e+00  3.899e+00 )
187   	6.371e-01 	2.441e-04 	( 1.974e+00  3.897e+00 )
188   	1.057e+00 	9.766e-04 	( 1.974e+00  3.897e+00 )
189   	5.107e-01 	2.441e-04 	( 1.973e+00  3.896e+00 )
190   	2.200e+00 	3.906e-03 	( 1.973e+00  3.896e+00 )
191   	6.289e-01 	2.441e-04 	( 1.973e+00  3.894e+00 )
192   	1.031e+00 	9.766e-04 	( 1.973e+00  3.894e+00 )
193   	5.089e-01 	2.441e-04 	( 1.972e+00  3.894e+00 )
194   	2.140e+00 	3.906e-03 	( 1.973e+00  3.894e+00 )
195   	6.220e-01 	2.441e-04 	( 1.973e+00  3.892e+00 )
196   	1.010e+00 	9.766e-04 	( 1.972e+00  3.892e+00 )
197   	5.073e-01 	2.441e-04 	( 1.972e+00  3.891e+00 )
198   	2.090e+00 	3.906e-03 	( 1.972e+00  3.891e+00 )
199   	6.162e-01 	2.441e-04 	( 1.972e+00  3.889e+00 )
200   	9.916e-01 	9.766e-04 	( 1.972e+00  3.889e+00 )
201   	5.059e-01 	2.441e-04 	( 1.971e+00  3.889e+00 )
202   	2.047e+00 	3.906e-03 	( 1.971e+00  3.889e+00 )
203   	6.114e-01 	2.441e-04 	( 1.971e+00  3.887e+00 )
204   	9.765e-01 	9.766e-04 	( 1.971e+00  3.887e+00 )
205   	5.048e-01 	2.441e-04 	( 1.971e+00  3.886e+00 )
206   	2.013e+00 	3.906e-03 	( 1.971e+00  3.886e+00 )
207   	6.077e-01 	2.441e-04 	( 1.971e+00  3.884e+00 )
208   	9.644e-01 	9.766e-04 	( 1.970e+00  3.884e+00 )
209   	5.039e-01 	2.441e-04 	( 1.970e+00  3.884e+00 )
210   	1.985e+00 	3.906e-03 	( 1.970e+00  3.884e+00 )
211   	6.048e-01 	2.441e-04 	( 1.970e+00  3.882e+00 )
212   	9.550e-01 	9.766e-04 	( 1.970e+00  3.882e+00 )
213   	5.032e-01 	2.441e-04 	( 1.969e+00  3.881e+00 )
214   	1.965e+00 	3.906e-03 	( 1.969e+00  3.881e+00 )
215   	6.027e-01 	2.441e-04 	( 1.970e+00  3.879e+00 )
216   	9.483e-01 	9.766e-04 	( 1.969e+00  3.879e+00 )
217   	5.027e-01 	2.441e-04 	( 1.969e+00  3.879e+00 )
218   	1.951e+00 	3.906e-03 	( 1.969e+00  3.879e+00 )
219   	6.015e-01 	2.441e-04 	( 1.969e+00  3.877e+00 )
220   	9.441e-01 	9.766e-04 	( 1.968e+00  3.877e+00 )
221   	5.024e-01 	2.441e-04 	( 1.968e+00  3.876e+00 )
222   	1.943e+00 	3.906e-03 	( 1.968e+00  3.876e+00 )
223   	6.010e-01 	2.441e-04 	( 1.968e+00  3.874e+00 )
224   	9.423e-01 	9.766e-04 	( 1.968e+00  3.874e+00 )
225   	5.023e-01 	2.441e-04 	( 1.967e+00  3.874e+00 )
226   	1.942e+00 	3.906e-03 	( 1.968e+00  3.874e+00 )
227   	6.013e-01 	2.441e-04 	( 1.968e+00  3.872e+00 )
228   	9.430e-01 	9.766e-04 	( 1.967e+00  3.872e+00 )
229   	5.023e-01 	2.441e-04 	( 1.967e+00  3.871e+00 )
230   	1.948e+00 	3.906e-03 	( 1.967e+00  3.871e+00 )
231   	6.024e-01 	2.441e-04 	( 1.967e+00  3.869e+00 )
232   	9.461e-01 	9.766e-04 	( 1.967e+00  3.869e+00 )
233   	5.025e-01 	2.441e-04 	( 1.966e+00  3.869e+00 )
234   	1.959e+00 	3.906e-03 	( 1.966e+00  3.869e+00 )
235   	6.042e-01 	2.441e-04 	( 1.966e+00  3.867e+00 )
236   	9.516e-01 	9.766e-04 	( 1.966e+00  3.867e+00 )
237   	5.029e-01 	2.441e-04 	( 1.965e+00  3.866e+00 )
238   	1.977e+00 	3.906e-03 	( 1.966e+00  3.866e+00 )
239   	6.069e-01 	2.441e-04 	( 1.966e+00  3.864e+00 )
240   	9.596e-01 	9.766e-04 	( 1.965e+00  3.864e+00 )
241   	5.034e-01 	2.441e-04 	( 1.965e+00  3.864e+00 )
242   	2.002e+00 	3.906e-03 	( 1.965e+00  3.864e+00 )
243   	6.105e-01 	2.441e-04 	( 1.965e+00  3.862e+00 )
244   	9.703e-01 	9.766e-04 	( 1.965e+00  3.862e+00 )
245   	5.042e-01 	2.441e-04 	( 1.964e+00  3.861e+00 )
246   	2.033e+00 	3.906e-03 	( 1.964e+00  3.861e+00 )
247   	6.150e-01 	2.441e-04 	( 1.965e+00  3.859e+00 )
248   	9.837e-01 	9.766e-04 	( 1.964e+00  3.859e+00 )
249   	5.052e-01 	2.441e-04 	( 1.964e+00  3.859e+00 )
250   	2.072e+00 	3.906e-03 	( 1.964e+00  3.859e+00 )
251   	6.204e-01 	2.441e-04 	( 1.964e+00  3.857e+00 )
252   	9.999e-01 	9.766e-04 	( 1.963e+00  3.857e+00 )
253   	5.064e-01 	2.441e-04 	( 1.963e+00  3.857e+00 )
254   	2.118e+00 	3.906e-03 	( 1.963e+00  3.856e+00 )
255   	6.270e-01 	2.441e-04 	( 1.963e+00  3.854e+00 )
256   	1.019e+00 	9.766e-04 	( 1.963e+00  3.854e+00 )
257   	5.080e-01 	2.441e-04 	( 1.962e+00  3.854e+00 )
258   	2.172e+00 	3.906e-03 	( 1.962e+00  3.854e+00 )
259   	6.348e-01 	2.441e-04 	( 1.963e+00  3.852e+00 )
260   	1.042e+00 	9.766e-04 	( 1.962e+00  3.852e+00 )
261   	5.098e-01 	2.441e-04 	( 1.962e+00  3.852e+00 )
262   	2.235e+00 	3.906e-03 	( 1.962e+00  3.851e+00 )
263   	6.439e-01 	2.441e-04 	( 1.962e+00  3.849e+00 )
264   	1.068e+00 	9.766e-04 	( 1.962e+00  3.849e+00 )
265   	5.120e-01 	2.441e-04 	( 1.961e+00  3.849e+00 )
266   	2.307e+00 	3.906e-03 	( 1.961e+00  3.849e+00 )
267   	6.544e-01 	2.441e-04 	( 1.961e+00  3.847e+00 )
268   	1.098e+00 	9.766e-04 	( 1.961e+00  3.847e+00 )
269   	5.146e-01 	2.441e-04 	( 1.960e+00  3.847e+00 )
270   	2.389e+00 	3.906e-03 	( 1.961e+00  3.846e+00 )
271   	6.667e-01 	2.441e-04 	( 1.961e+00  3.844e+00 )
272   	1.133e+00 	9.766e-04 	( 1.960e+00  3.844e+00 )
273   	5.176e-01 	2.441e-04 	( 1.960e+00  3.844e+00 )
274   	6.567e-01 	9.766e-04 	( 1.960e+00  3.844e+00 )
275   	1.104e+00 	9.766e-04 	( 1.960e+00  3.843e+00 )
276   	5.151e-01 	2.441e-04 	( 1.959e+00  3.843e+00 )
277   	2.409e+00 	3.906e-03 	( 1.960e+00  3.843e+00 )
278   	6.706e-01 	2.441e-04 	( 1.960e+00  3.841e+00 )
279   	1.143e+00 	9.766e-04 	( 1.959e+00  3.841e+00 )
280   	5.186e-01 	2.441e-04 	( 1.959e+00  3.841e+00 )
281   	6.608e-01 	9.766e-04 	( 1.959e+00  3.840e+00 )
282   	1.115e+00 	9.766e-04 	( 1.959e+00  3.840e+00 )
283   	5.161e-01 	2.441e-04 	( 1.959e+00  3.840e+00 )
284   	2.443e+00 	3.906e-03 	( 1.959e+00  3.839e+00 )
285   	6.766e-01 	2.441e-04 	( 1.959e+00  3.837e+00 )
286   	1.159e+00 	9.766e-04 	( 1.959e+00  3.838e+00 )
287   	5.201e-01 	2.441e-04 	( 1.958e+00  3.837e+00 )
288   	6.667e-01 	9.766e-04 	( 1.958e+00  3.837e+00 )
289   	1.131e+00 	9.766e-04 	( 1.958e+00  3.837e+00 )
290   	5.176e-01 	2.441e-04 	( 1.958e+00  3.836e+00 )
291   	6.574e-01 	9.766e-04 	( 1.958e+00  3.836e+00 )
292   	1.104e+00 	9.766e-04 	( 1.958e+00  3.836e+00 )
293   	5.153e-01 	2.441e-04 	( 1.957e+00  3.835e+00 )
294   	2.424e+00 	3.906e-03 	( 1.958e+00  3.835e+00 )
295   	6.749e-01 	2.441e-04 	( 1.958e+00  3.833e+00 )
296   	1.154e+00 	9.766e-04 	( 1.957e+00  3.833e+00 )
297   	5.197e-01 	2.441e-04 	( 1.957e+00  3.833e+00 )
298   	6.655e-01 	9.766e-04 	( 1.957e+00  3.833e+00 )
299   	1.127e+00 	9.766e-04 	( 1.957e+00  3.832e+00 )
300   	5.173e-01 	2.441e-04 	( 1.957e+00  3.832e+00 )
301   	6.565e-01 	9.766e-04 	( 1.957e+00  3.832e+00 )
302   	1.101e+00 	9.766e-04 	( 1.957e+00  3.831e+00 )
303   	5.150e-01 	2.441e-04 	( 1.956e+00  3.831e+00 )
304   	2.423e+00 	3.906e-03 	( 1.957e+00  3.831e+00 )
305   	6.761e-01 	2.441e-04 	( 1.957e+00  3.829e+00 )
306   	1.156e+00 	9.766e-04 	( 1.956e+00  3.829e+00 )
307   	5.200e-01 	2.441e-04 	( 1.956e+00  3.828e+00 )
308   	6.669e-01 	9.766e-04 	( 1.956e+00  3.828e+00 )
309   	1.130e+00 	9.766e-04 	( 1.956e+00  3.828e+00 )
310   	5.177e-01 	2.441e-04 	( 1.955e+00  3.827e+00 )
311   	6.583e-01 	9.766e-04 	( 1.956e+00  3.827e+00 )
312   	1.105e+00 	9.766e-04 	( 1.956e+00  3.827e+00 )
313   	5.155e-01 	2.441e-04 	( 1.955e+00  3.826e+00 )
314   	2.440e+00 	3.906e-03 	( 1.955e+00  3.826e+00 )
315   	6.800e-01 	2.441e-04 	( 1.956e+00  3.824e+00 )
316   	1.166e+00 	9.766e-04 	( 1.955e+00  3.824e+00 )
317   	5.211e-01 	2.441e-04 	( 1.955e+00  3.824e+00 )
318   	6.711e-01 	9.766e-04 	( 1.955e+00  3.824e+00 )
319   	1.140e+00 	9.766e-04 	( 1.955e+00  3.823e+00 )
320   	5.187e-01 	2.441e-04 	( 1.954e+00  3.823e+00 )
321   	6.626e-01 	9.766e-04 	( 1.954e+00  3.823e+00 )
322   	1.116e+00 	9.766e-04 	( 1.955e+00  3.822e+00 )
323   	5.166e-01 	2.441e-04 	( 1.954e+00  3.822e+00 )
324   	6.544e-01 	9.766e-04 	( 1.954e+00  3.822e+00 )
325   	1.093e+00 	9.766e-04 	( 1.954e+00  3.821e+00 )
326   	5.145e-01 	2.441e-04 	( 1.954e+00  3.821e+00 )
327   	2.418e+00 	3.906e-03 	( 1.954e+00  3.821e+00 )
328   	6.782e-01 	2.441e-04 	( 1.954e+00  3.819e+00 )
329   	1.159e+00 	9.766e-04 	( 1.954e+00  3.819e+00 )
330   	5.206e-01 	2.441e-04 	( 1.953e+00  3.818e+00 )
331   	6.698e-01 	9.766e-04 	( 1.953e+00  3.818e+00 )
332   	1.136e+00 	9.766e-04 	( 1.953e+00  3.818e+00 )
333   	5.184e-01 	2.441e-04 	( 1.953e+00  3.817e+00 )
334   	6.617e-01 	9.766e-04 	( 1.953e+00  3.817e+00 )
335   	1.113e+00 	9.766e-04 	( 1.953e+00  3.817e+00 )
336   	5.163e-01 	2.441e-04 	( 1.953e+00  3.816e+00 )
337   	6.540e-01 	9.766e-04 	( 1.953e+00  3.816e+00 )
338   	1.091e+00 	9.766e-04 	( 1.953e+00  3.816e+00 )
339   	5.144e-01 	2.441e-04 	( 1.952e+00  3.815e+00 )
340   	2.421e+00 	3.906e-03 	( 1.953e+00  3.815e+00 )
341   	6.803e-01 	2.441e-04 	( 1.953e+00  3.813e+00 )
342   	1.164e+00 	9.766e-04 	( 1.952e+00  3.813e+00 )
343   	5.212e-01 	2.441e-04 	( 1.952e+00  3.813e+00 )
344   	6.722e-01 	9.766e-04 	( 1.952e+00  3.813e+00 )
345   	1.141e+00 	9.766e-04 	( 1.952e+00  3.812e+00 )
346   	5.191e-01 	2.441e-04 	( 1.951e+00  3.812e+00 )
347   	6.644e-01 	9.766e-04 	( 1.952e+00  3.812e+00 )
348   	1.119e+00 	9.766e-04 	( 1.952e+00  3.811e+00 )
349   	5.170e-01 	2.441e-04 	( 1.951e+00  3.811e+00 )
350   	6.570e-01 	9.766e-04 	( 1.951e+00  3.811e+00 )
351   	1.098e+00 	9.766e-04 	( 1.952e+00  3.810e+00 )
352   	5.151e-01 	2.441e-04 	( 1.951e+00  3.810e+00 )
353   	6.499e-01 	9.766e-04 	( 1.951e+00  3.810e+00 )
354   	1.078e+00 	9.766e-04 	( 1.951e+00  3.809e+00 )
355   	5.133e-01 	2.441e-04 	( 1.951e+00  3.809e+00 )
356   	2.397e+00 	3.906e-03 	( 1.951e+00  3.809e+00 )
357   	6.785e-01 	2.441e-04 	( 1.951e+00  3.807e+00 )
358   	1.157e+00 	9.766e-04 	( 1.951e+00  3.807e+00 )
359   	5.207e-01 	2.441e-04 	( 1.950e+00  3.806e+00 )
360   	6.710e-01 	9.766e-04 	( 1.950e+00  3.806e+00 )
361   	1.136e+00 	9.766e-04 	( 1.950e+00  3.806e+00 )
362   	5.187e-01 	2.441e-04 	( 1.950e+00  3.805e+00 )
363   	6.637e-01 	9.766e-04 	( 1.950e+00  3.805e+00 )
364   	1.116e+00 	9.766e-04 	( 1.950e+00  3.805e+00 )
365   	5.168e-01 	2.441e-04 	( 1.950e+00  3.804e+00 )
366   	6.567e-01 	9.766e-04 	( 1.950e+00  3.804e+00 )
367   	1.096e+00 	9.766e-04 	( 1.950e+00  3.804e+00 )
368   	5.150e-01 	2.441e-04 	( 1.949e+00  3.803e+00 )
369   	6.500e-01 	9.766e-04 	( 1.950e+00  3.803e+00 )
370   	1.077e+00 	9.766e-04 	( 1.950e+00  3.803e+00 )
371   	5.133e-01 	2.441e-04 	( 1.949e+00  3.802e+00 )
372   	2.405e+00 	3.906e-03 	( 1.949e+00  3.802e+00 )
373   	6.816e-01 	2.441e-04 	( 1.950e+00  3.800e+00 )
